park_name,historic_site_records,historic_site_records_per_100_sq_km
Gateway Arch,1,127.09444954993143
Cuyahoga Valley,41,30.963202818048874
Virgin Islands,9,14.809603108594349
Cape Cod,16,8.922947861611789
Mammoth Cave,13,6.214081885667701
Zion,34,5.6496779677148465
Bryce Canyon,8,5.4932194888873
Indiana Dunes,3,4.654423501338776
Hot Springs,1,4.5281771351477405
Mount Rainier,36,3.7624275104752822
Fire Island,3,3.7620312020759084
Acadia,4,2.8430476650014302
Rocky Mountain,25,2.3131896257114573
Glacier,71,1.7403539306781668
Grand Teton,21,1.6738638145267084
Wind Cave,2,1.4566663696151045
Lassen Volcanic,6,1.379072710437051
Arches,4,1.2927611430987358
Cumberland Island,2,1.2882301983735869
Sequoia,16,0.9718848619223558
Yosemite,29,0.9607246722611833
Mesa Verde,2,0.9205176075929659
Cape Lookout,1,0.8695272215203274
Guadalupe Mountains,3,0.8498949148683618
Crater Lake,6,0.8121709403919936
Capitol Reef,8,0.8075485693710813
Cape Hatteras,1,0.7937414463322403
Point Reyes,2,0.6876929956858319
Great Basin,2,0.6418223624544345
North Cascades,13,0.640703538015718
Assateague Island,1,0.5779029327498922
Olympic,19,0.5130441651056712
Great Smoky Mountain,9,0.4292922249927057
Canaveral,1,0.42269147707662313
Gulf Islands,2,0.37896003660772437
Dry Tortugas,1,0.37681084080090005
Voyageurs,3,0.36213601598027
Theodore Roosevelt,1,0.3506961877479364
Isle Royale,6,0.26870915672648366
Hawaii Volcanoes,4,0.26833649808906307
Saguaro,1,0.2640307767005091
Great Sand Dunes,1,0.22969346042958932
Petrified Forest,2,0.22164875014615257
Grand Canyon,9,0.18482824823442026
Redwood,1,0.1760031196595641
Kings Canyon,3,0.16151890517800555
Canyonlands,2,0.14785745170601722
Biscayne,1,0.14214823050697897
Shenandoah,1,0.12486395766474583
Yellowstone,10,0.1123484455508182
Denali,13,0.06851041129011057
Big Bend,2,0.060947624851003565
Katmai,4,0.02680118582254317
Everglades,1,0.016132461419713556
Lake Clark,1,0.009397548327250772
Glacier Bay,1,0.00765817447649144
