np_name,month,avg_monthly_visitors
Assateague Island,January,42855.93023255814
Assateague Island,February,46619.46511627907
Assateague Island,March,65535.232558139534
Assateague Island,April,124510.93023255814
Assateague Island,May,181170.72093023255
Assateague Island,June,283657.74418604653
Assateague Island,July,438101.0930232558
Assateague Island,August,425261.0
Assateague Island,September,241959.53488372092
Assateague Island,October,133596.7441860465
Assateague Island,November,81214.93023255814
Assateague Island,December,40641.32558139535
Grand Teton,January,119777.41860465116
Grand Teton,February,116344.55813953489
Grand Teton,March,131245.7906976744
Grand Teton,April,117302.27906976744
Grand Teton,May,263733.88372093026
Grand Teton,June,564740.1860465116
Grand Teton,July,759826.0
Grand Teton,August,706251.3488372093
Grand Teton,September,479392.6046511628
Grand Teton,October,227625.55813953487
Grand Teton,November,118316.58139534884
Grand Teton,December,123076.30232558139
Great Smoky Mountain,January,822956.5116279069
Great Smoky Mountain,February,865129.3023255814
Great Smoky Mountain,March,1169469.3953488371
Great Smoky Mountain,April,1431287.7441860465
Great Smoky Mountain,May,1581907.8837209302
Great Smoky Mountain,June,2102791.7209302327
Great Smoky Mountain,July,2519298.7674418604
Great Smoky Mountain,August,2117771.0
Great Smoky Mountain,September,1828315.6046511629
Great Smoky Mountain,October,2218071.093023256
Great Smoky Mountain,November,1431745.2325581396
Great Smoky Mountain,December,1089976.0697674418
Rocky Mountain,January,77616.62790697675
Rocky Mountain,February,70274.11627906977
Rocky Mountain,March,85253.41860465116
Rocky Mountain,April,83246.72093023256
Rocky Mountain,May,179024.81395348837
Rocky Mountain,June,481059.3953488372
Rocky Mountain,July,692946.9302325582
Rocky Mountain,August,656342.0930232558
Rocky Mountain,September,469123.81395348837
Rocky Mountain,October,231152.44186046513
Rocky Mountain,November,82102.88372093023
Rocky Mountain,December,69427.81395348837
